Compound,Channel,Experiment,Dose,Response
Sotalol,Kir2.1,3,2100,32
Terfenadine,hERG,1,0.0008,27.4
Terfenadine,hERG,2,0.0008,18.9
Terfenadine,hERG,3,0.0008,13.8
Terfenadine,hERG,1,0.008,45.5
Terfenadine,hERG,2,0.008,22.8
Terfenadine,hERG,3,0.008,30.4
Terfenadine,hERG,4,0.008,33.5
Terfenadine,hERG,1,0.08,85.9
Terfenadine,hERG,2,0.08,72.4
Terfenadine,hERG,3,0.08,64.5
Terfenadine,hERG,1,0.8,96.2
Terfenadine,hERG,2,0.8,78.6
Terfenadine,hERG,3,0.8,93.6
Terfenadine,Nav1.5-peak,1,0.0008,0.1
Terfenadine,Nav1.5-peak,2,0.0008,0
Terfenadine,Nav1.5-peak,3,0.0008,0.5
Terfenadine,Nav1.5-peak,1,0.008,0
Terfenadine,Nav1.5-peak,2,0.008,0
Terfenadine,Nav1.5-peak,3,0.008,0
Terfenadine,Nav1.5-peak,1,0.08,0
Terfenadine,Nav1.5-peak,2,0.08,0
Terfenadine,Nav1.5-peak,3,0.08,4.7
Terfenadine,Nav1.5-peak,1,0.8,16.8
Terfenadine,Nav1.5-peak,2,0.8,21.6
Terfenadine,Nav1.5-peak,3,0.8,12.3
Terfenadine,Nav1.5-peak,4,0.8,5.1
Terfenadine,Nav1.5-late,1,0.0008,0
Terfenadine,Nav1.5-late,2,0.0008,0
Terfenadine,Nav1.5-late,3,0.0008,6.1
Terfenadine,Nav1.5-late,1,0.008,0
Terfenadine,Nav1.5-late,2,0.008,7.9
Terfenadine,Nav1.5-late,3,0.008,6.1
Terfenadine,Nav1.5-late,1,0.08,0
Terfenadine,Nav1.5-late,2,0.08,8.9
Terfenadine,Nav1.5-late,3,0.08,0
Terfenadine,Nav1.5-late,1,0.8,15.5
Terfenadine,Nav1.5-late,2,0.8,23.4
Terfenadine,Nav1.5-late,3,0.8,9.8
Terfenadine,Cav1.2,1,0.0008,3.8
Terfenadine,Cav1.2,2,0.0008,1.4
Terfenadine,Cav1.2,3,0.0008,0
Terfenadine,Cav1.2,1,0.008,4.5
Terfenadine,Cav1.2,2,0.008,2.7
Terfenadine,Cav1.2,3,0.008,5.2
Terfenadine,Cav1.2,1,0.08,24
Terfenadine,Cav1.2,2,0.08,15.5
Terfenadine,Cav1.2,3,0.08,20.1
Terfenadine,Cav1.2,1,0.8,49.7
Terfenadine,Cav1.2,2,0.8,53.1
Terfenadine,Cav1.2,3,0.8,53.2
Terfenadine,KvLQT1/mink,1,0.0008,0
Terfenadine,KvLQT1/mink,2,0.0008,0.05
Terfenadine,KvLQT1/mink,3,0.0008,0
Terfenadine,KvLQT1/mink,1,0.008,0.6
Terfenadine,KvLQT1/mink,2,0.008,0
Terfenadine,KvLQT1/mink,3,0.008,0
Terfenadine,KvLQT1/mink,1,0.08,0.5
Terfenadine,KvLQT1/mink,2,0.08,2.6
Terfenadine,KvLQT1/mink,3,0.08,0
Terfenadine,KvLQT1/mink,1,0.8,0
Terfenadine,KvLQT1/mink,2,0.8,4
Terfenadine,KvLQT1/mink,3,0.8,5.9
Terfenadine,Kv4.3,1,0.0008,0
Terfenadine,Kv4.3,2,0.0008,5.3
Terfenadine,Kv4.3,3,0.0008,8.9
Terfenadine,Kv4.3,1,0.008,10.3
Terfenadine,Kv4.3,2,0.008,10.1
Terfenadine,Kv4.3,3,0.008,9
Terfenadine,Kv4.3,1,0.08,4.3
Terfenadine,Kv4.3,2,0.08,9.1
Terfenadine,Kv4.3,3,0.08,6.3
Terfenadine,Kv4.3,1,0.8,28.5
Terfenadine,Kv4.3,2,0.8,22.1
Terfenadine,Kv4.3,3,0.8,11.1
Terfenadine,Kir2.1,1,0.0008,8.2
Terfenadine,Kir2.1,2,0.0008,3.9
Terfenadine,Kir2.1,3,0.0008,0
Terfenadine,Kir2.1,1,0.008,0
Terfenadine,Kir2.1,2,0.008,0
Terfenadine,Kir2.1,3,0.008,0
Terfenadine,Kir2.1,1,0.08,0
Terfenadine,Kir2.1,2,0.08,8.6
Terfenadine,Kir2.1,3,0.08,0
Terfenadine,Kir2.1,1,0.8,0
Terfenadine,Kir2.1,2,0.8,0
Terfenadine,Kir2.1,3,0.8,0
Toremifene,hERG,1,0.025,0.8
Toremifene,hERG,2,0.025,0.4
Toremifene,hERG,3,0.025,1.9
Toremifene,hERG,4,0.025,0
Toremifene,hERG,1,0.075,0
Toremifene,hERG,2,0.075,2.4
Toremifene,hERG,3,0.075,0
Toremifene,hERG,1,0.25,14.7
Toremifene,hERG,2,0.25,9.5
Toremifene,hERG,3,0.25,5.3
Toremifene,hERG,1,1.25,27.2
Toremifene,hERG,2,1.25,21.3
Toremifene,hERG,3,1.25,17.9
Toremifene,Nav1.5-peak,1,0.025,0.1
Toremifene,Nav1.5-peak,2,0.025,0
Toremifene,Nav1.5-peak,3,0.025,0
Toremifene,Nav1.5-peak,1,0.075,0
Toremifene,Nav1.5-peak,2,0.075,0
Toremifene,Nav1.5-peak,3,0.075,0
Toremifene,Nav1.5-peak,1,0.25,0.6
Toremifene,Nav1.5-peak,2,0.25,0
Toremifene,Nav1.5-peak,3,0.25,0
Toremifene,Nav1.5-peak,1,1.25,11.2
Toremifene,Nav1.5-peak,2,1.25,2.8
Toremifene,Nav1.5-peak,3,1.25,5.1
Toremifene,Nav1.5-late,1,0.025,0
Toremifene,Nav1.5-late,2,0.025,0
Toremifene,Nav1.5-late,3,0.025,0
Toremifene,Nav1.5-late,1,0.075,0
Toremifene,Nav1.5-late,2,0.075,0
Toremifene,Nav1.5-late,3,0.075,0
Toremifene,Nav1.5-late,1,0.25,1.4
Toremifene,Nav1.5-late,2,0.25,0
Toremifene,Nav1.5-late,3,0.25,0
Toremifene,Nav1.5-late,1,1.25,5.9
Toremifene,Nav1.5-late,2,1.25,11.1
Toremifene,Nav1.5-late,3,1.25,24.8
Toremifene,Cav1.2,1,0.025,0
Toremifene,Cav1.2,2,0.025,0.09
Toremifene,Cav1.2,3,0.025,4.1
Toremifene,Cav1.2,1,0.075,3.4
Toremifene,Cav1.2,2,0.075,0
Toremifene,Cav1.2,3,0.075,0
Toremifene,Cav1.2,1,0.25,0.8
Toremifene,Cav1.2,2,0.25,0
Toremifene,Cav1.2,3,0.25,2.3
Toremifene,Cav1.2,1,1.25,2.4
Toremifene,Cav1.2,2,1.25,0
Toremifene,Cav1.2,3,1.25,3.5
Toremifene,Cav1.2,4,1.25,3.7
Toremifene,Cav1.2,5,1.25,11.8
Toremifene,KvLQT1/mink,1,0.025,0
Toremifene,KvLQT1/mink,2,0.025,2.1
Toremifene,KvLQT1/mink,3,0.025,0
Toremifene,KvLQT1/mink,1,0.075,0
Toremifene,KvLQT1/mink,2,0.075,0.05
Toremifene,KvLQT1/mink,3,0.075,0
Toremifene,KvLQT1/mink,1,0.25,0
Toremifene,KvLQT1/mink,2,0.25,0
Toremifene,KvLQT1/mink,3,0.25,0
Toremifene,KvLQT1/mink,1,1.25,0
Toremifene,KvLQT1/mink,2,1.25,0
Toremifene,KvLQT1/mink,3,1.25,0
Toremifene,Kv4.3,1,0.025,1.7
Toremifene,Kv4.3,2,0.025,0.5
Toremifene,Kv4.3,3,0.025,0.5
Toremifene,Kv4.3,1,0.075,1.7
Toremifene,Kv4.3,2,0.075,0.2
Toremifene,Kv4.3,3,0.075,0.03
Toremifene,Kv4.3,1,0.25,1.9
Toremifene,Kv4.3,2,0.25,1.4
Toremifene,Kv4.3,3,0.25,0.6
Toremifene,Kv4.3,1,1.25,2.1
Toremifene,Kv4.3,2,1.25,0
Toremifene,Kv4.3,3,1.25,12.2
Toremifene,Kv4.3,4,1.25,0
Toremifene,Kir2.1,1,0.025,0
Toremifene,Kir2.1,2,0.025,0
Toremifene,Kir2.1,3,0.025,0
Toremifene,Kir2.1,1,0.075,0
Toremifene,Kir2.1,2,0.075,0
Toremifene,Kir2.1,3,0.075,0
Toremifene,Kir2.1,1,0.25,0
Toremifene,Kir2.1,2,0.25,0
Toremifene,Kir2.1,3,0.25,0
Toremifene,Kir2.1,1,1.25,0
Toremifene,Kir2.1,2,1.25,0
Toremifene,Kir2.1,3,1.25,0
Verapamil,hERG,1,0.005,0
Verapamil,hERG,2,0.005,3.6
Verapamil,hERG,1,0.05,8.5
Verapamil,hERG,2,0.05,15.4
Verapamil,hERG,3,0.05,14.3
Verapamil,hERG,1,0.15,18.8
Verapamil,hERG,2,0.15,18.5
Verapamil,hERG,3,0.15,24.8
Verapamil,hERG,1,0.5,44.4
Verapamil,hERG,2,0.5,44.4
Verapamil,hERG,3,0.5,44.5
Verapamil,hERG,1,1,77.2
Verapamil,hERG,2,1,74.1
Verapamil,hERG,3,1,68.7
Verapamil,Nav1.5-peak,1,0.05,0.8
Verapamil,Nav1.5-peak,2,0.05,0
Verapamil,Nav1.5-peak,3,0.05,0
Verapamil,Nav1.5-peak,1,0.15,0.3
Verapamil,Nav1.5-peak,2,0.15,0.6
Verapamil,Nav1.5-peak,3,0.15,0
Verapamil,Nav1.5-peak,1,0.5,0.8
Verapamil,Nav1.5-peak,2,0.5,0
Verapamil,Nav1.5-peak,3,0.5,0
Verapamil,Nav1.5-peak,1,1,1.2
Verapamil,Nav1.5-peak,2,1,0.2
Verapamil,Nav1.5-peak,3,1,0
Verapamil,Nav1.5-late,1,0.05,8.1
Verapamil,Nav1.5-late,2,0.05,0
Verapamil,Nav1.5-late,3,0.05,0
Verapamil,Nav1.5-late,1,0.15,9
Verapamil,Nav1.5-late,2,0.15,0
Verapamil,Nav1.5-late,3,0.15,0
Verapamil,Nav1.5-late,1,0.5,6.4
Verapamil,Nav1.5-late,2,0.5,0
Verapamil,Nav1.5-late,3,0.5,0
Verapamil,Nav1.5-late,1,1,6.6
Verapamil,Nav1.5-late,2,1,0
Verapamil,Nav1.5-late,3,1,0
Verapamil,Cav1.2,1,0.005,6.5
Verapamil,Cav1.2,2,0.005,4.3
Verapamil,Cav1.2,3,0.005,1.1
Verapamil,Cav1.2,1,0.05,22.6
Verapamil,Cav1.2,2,0.05,20.9
Verapamil,Cav1.2,3,0.05,19.4
Verapamil,Cav1.2,1,0.15,50.5
Verapamil,Cav1.2,2,0.15,28.9
Verapamil,Cav1.2,3,0.15,40.1
Verapamil,Cav1.2,4,0.15,35.9
Verapamil,Cav1.2,1,0.5,89.8
Verapamil,Cav1.2,2,0.5,67.2
Verapamil,Cav1.2,3,0.5,68.9
Verapamil,Cav1.2,1,1,99.6
Verapamil,Cav1.2,2,1,77.7
Verapamil,Cav1.2,3,1,79.7
Verapamil,KvLQT1/mink,1,0.005,0
Verapamil,KvLQT1/mink,2,0.005,0
Verapamil,KvLQT1/mink,3,0.005,2.7
Verapamil,KvLQT1/mink,1,0.05,0
Verapamil,KvLQT1/mink,2,0.05,3.4
Verapamil,KvLQT1/mink,3,0.05,4.7
Verapamil,KvLQT1/mink,1,0.15,0
Verapamil,KvLQT1/mink,2,0.15,1.6
Verapamil,KvLQT1/mink,3,0.15,8.2
Verapamil,KvLQT1/mink,1,0.5,0
Verapamil,KvLQT1/mink,2,0.5,1.8
Verapamil,KvLQT1/mink,3,0.5,5.4
Verapamil,Kv4.3,1,0.05,0.9
Verapamil,Kv4.3,2,0.05,0
Verapamil,Kv4.3,3,0.05,0
Verapamil,Kv4.3,1,0.15,0.9
Verapamil,Kv4.3,2,0.15,3.2
Verapamil,Kv4.3,3,0.15,0
Verapamil,Kv4.3,1,0.5,8.4
Verapamil,Kv4.3,2,0.5,12.2
Verapamil,Kv4.3,3,0.5,3.2
Verapamil,Kv4.3,1,1,5.8
Verapamil,Kv4.3,2,1,15.6
Verapamil,Kv4.3,3,1,8.2
Verapamil,Kir2.1,1,0.05,0
Verapamil,Kir2.1,2,0.05,2.9
Verapamil,Kir2.1,3,0.05,0
Verapamil,Kir2.1,1,0.15,0
Verapamil,Kir2.1,2,0.15,9.1
Verapamil,Kir2.1,3,0.15,2.2
Verapamil,Kir2.1,4,0.15,0
Verapamil,Kir2.1,1,0.5,0
Verapamil,Kir2.1,2,0.5,1.9
Verapamil,Kir2.1,3,0.5,0
Verapamil,Kir2.1,1,1,0
Verapamil,Kir2.1,2,1,10.6
Verapamil,Kir2.1,3,1,1
